objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
col010_00001,Lettering of Quick Response Unit Van,Meridian Quick Response Unit/Meridian Fire Department ,1983,Employee Lettering the QRU Van,Emergency vehicles; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00001.jpg,/objects/small/col010_mfdimages_00001_sm.jpg,/objects/thumbs/col010_mfdimages_00001_th.jpg,,
col010_00002,Emergency Response-January 1983,Photo by Tom Murphy,1983-01-12,"Meridian Fire Chief Roger Welker and Meridian policeman Rich Richardson assist Jeff Hickford, a 24 year-old sign repairman, who got crushed between the boom and a Chevron sign he was working on","Chief, Fire; Policemen ","Meridian, Idaho",,,"Valley News, January 12, 1983, pg 1; found in Meridian Fire Department Scrapbook 1983-1985",,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00002.jpg,/objects/small/col010_mfdimages_00002_sm.jpg,/objects/thumbs/col010_mfdimages_00002_th.jpg,,
col010_00003,Meridian Quick Response Unit Teaches CPR,Photo by Silvia Horkley,1983-04-13,QRU member JoAnne Potter teaches 6th grader Faryl Tennyson CPR,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,"Valley News, April 13, 1983, pg 1B; found in Meridian Fire Department Scrapbook 1983-1985",,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00003.jpg,/objects/small/col010_mfdimages_00003_sm.jpg,/objects/thumbs/col010_mfdimages_00003_th.jpg,,
col010_00004,Quick Response Unit Training Exercise,Meridian Quick Response Unit/Meridian Fire Department ,1983,Quick Response Training Session 1983,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00004.jpg,/objects/small/col010_mfdimages_00004_sm.jpg,/objects/thumbs/col010_mfdimages_00004_th.jpg,,
col010_00005,Quick Response Unit Meets for Training Exercise,Meridian Quick Response Unit/Meridian Fire Department ,1983,Quick Response Unit Meets for Training Exercise,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00005.jpg,/objects/small/col010_mfdimages_00005_sm.jpg,/objects/thumbs/col010_mfdimages_00005_th.jpg,,
col010_00006,Quick Response Unit Training Exercise,Meridian Quick Response Unit/Meridian Fire Department ,1983,Quick Response Training Session 1983,Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00006.jpg,/objects/small/col010_mfdimages_00006_sm.jpg,/objects/thumbs/col010_mfdimages_00006_th.jpg,,
col010_00007,Sun Valley Extraction Class 1983,Meridian Quick Response Unit/Meridian Fire Department ,1983,"Meridian emergency responders attend an extraction class in Sun Valley, 1983",Emergency medical services; Emergency medical personnel; firefighters,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00007.jpg,/objects/small/col010_mfdimages_00007_sm.jpg,/objects/thumbs/col010_mfdimages_00007_th.jpg,,
col010_00008,Training with Andrea Putnam ,Meridian Quick Response Unit/Meridian Fire Department ,1983-02,"Meridian Quick Response team members practice emergency care for babies, featuring 20 month old Andrea Putman-February 1983 ",Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00008.jpg,/objects/small/col010_mfdimages_00008_sm.jpg,/objects/thumbs/col010_mfdimages_00008_th.jpg,,
col010_00009,Good Samaritian Club donates to QRU,Meridian Quick Response Unit/Meridian Fire Department ,1984-06-13,"Treasure Valley Good Samaritan Club representative Minnie Anderson presents a donation of $110 to George Louie of Meridian's Quick Response Unit--June 13, 1984",Emergency vehicles; Emergency medical services; Emergency medical personnel,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00009.jpg,/objects/small/col010_mfdimages_00009_sm.jpg,/objects/thumbs/col010_mfdimages_00009_th.jpg,,
col010_00010,Meridian Firefighters outside Meridian Paint,Meridian Quick Response Unit/Meridian Fire Department ,1984,Meridian Firefighters gather outside of Meridian Paint ,Fire Trucks; Firefighters ,"Meridian, Idaho",,,Meridian Fire Department Scrapbook 1983-1985,,Image;StillImage,image/jpeg,,"For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col010_mfdimages_00010.jpg,/objects/small/col010_mfdimages_00010_sm.jpg,/objects/thumbs/col010_mfdimages_00010_th.jpg,,
